Pollutants
	city: Ciudad de M&eacute;xico,averages ps
	cityCode: MEX
	country: M&eacute;xico
	mesurementAgency: SIMAT
	URL: http://www.aire.df.gob.mx
	timeStamp: 2022/01/01 al 2022/11/11
	average_interval: 001h
	date,"id_station",id_parameter,value,unit
05/01/2022,SAC,PM2.5,38,2
06/01/2022,ACO,PM10,83,2
06/01/2022,MON,PM2.5,35,2
06/01/2022,CHO,PM10,83,2
06/01/2022,CUA,PM10,34,2
06/01/2022,CUT,PM10,76,2
06/01/2022,FAC,PM10,56,2
06/01/2022,MER,PM10,61,2
06/01/2022,MER,PM2.5,35,2
06/01/2022,NEZ,PM10,69,2
06/01/2022,NEZ,PM2.5,29,2
06/01/2022,PED,PM10,34,2
06/01/2022,PED,PM2.5,18,2
06/01/2022,SAG,PM10,63,2
06/01/2022,SAG,PM2.5,29,2
06/01/2022,SFE,PM10,33,2
06/01/2022,SFE,PM2.5,15,2
06/01/2022,TAH,PM10,64,2
06/01/2022,TLA,PM10,58,2
06/01/2022,TLA,PM2.5,25,2
06/01/2022,TLI,PM10,95,2
06/01/2022,UAX,PM2.5,24,2
06/01/2022,UIZ,PM10,62,2
06/01/2022,UIZ,PM2.5,26,2
06/01/2022,VIF,PM10,118,2
06/01/2022,CCA,PM2.5,19,2
06/01/2022,BJU,PM10,43,2
06/01/2022,BJU,PM2.5,23,2
06/01/2022,INN,PM10,22,2
06/01/2022,INN,PM2.5,12,2
06/01/2022,FAR,PM2.5,27,2
06/01/2022,SAC,PM2.5,37,2
07/01/2022,ACO,PM10,57,2
07/01/2022,MON,PM2.5,26,2
07/01/2022,CHO,PM10,69,2
07/01/2022,CUA,PM10,30,2
07/01/2022,CUT,PM10,42,2
07/01/2022,FAC,PM10,35,2
07/01/2022,MER,PM10,41,2
07/01/2022,MER,PM2.5,25,2
07/01/2022,NEZ,PM10,59,2
07/01/2022,NEZ,PM2.5,29,2
07/01/2022,PED,PM10,26,2
07/01/2022,PED,PM2.5,13,2
07/01/2022,SAG,PM10,41,2
07/01/2022,SAG,PM2.5,19,2
07/01/2022,SFE,PM10,27,2
07/01/2022,SFE,PM2.5,12,2
07/01/2022,TAH,PM10,54,2
07/01/2022,TLA,PM10,43,2
07/01/2022,TLA,PM2.5,18,2
07/01/2022,TLI,PM10,50,2
07/01/2022,UAX,PM2.5,21,2
07/01/2022,UIZ,PM10,49,2
07/01/2022,UIZ,PM2.5,23,2
07/01/2022,VIF,PM10,51,2
07/01/2022,CCA,PM2.5,13,2
07/01/2022,BJU,PM10,36,2
07/01/2022,BJU,PM2.5,20,2
07/01/2022,INN,PM10,15,2
07/01/2022,INN,PM2.5,9,2
07/01/2022,FAR,PM2.5,19,2
07/01/2022,SAC,PM2.5,30,2
08/01/2022,ACO,PM10,57,2
08/01/2022,MON,PM2.5,25,2
08/01/2022,CHO,PM10,66,2
08/01/2022,CUA,PM10,26,2
08/01/2022,CUT,PM10,58,2
08/01/2022,FAC,PM10,39,2
08/01/2022,MER,PM10,45,2
08/01/2022,MER,PM2.5,28,2
08/01/2022,NEZ,PM10,65,2
08/01/2022,NEZ,PM2.5,37,2
08/01/2022,PED,PM10,23,2
08/01/2022,PED,PM2.5,15,2
08/01/2022,SAG,PM10,51,2
08/01/2022,SAG,PM2.5,22,2
08/01/2022,SFE,PM10,25,2
08/01/2022,SFE,PM2.5,14,2
08/01/2022,TAH,PM10,57,2
08/01/2022,TLA,PM10,43,2
08/01/2022,TLA,PM2.5,19,2
08/01/2022,TLI,PM10,68,2
08/01/2022,UAX,PM2.5,23,2
08/01/2022,UIZ,PM10,51,2
08/01/2022,UIZ,PM2.5,27,2
08/01/2022,VIF,PM10,74,2
08/01/2022,CCA,PM2.5,14,2
08/01/2022,BJU,PM10,31,2
08/01/2022,BJU,PM2.5,18,2
08/01/2022,INN,PM10,16,2
08/01/2022,INN,PM2.5,11,2
08/01/2022,FAR,PM2.5,26,2
08/01/2022,SAC,PM2.5,28,2
09/01/2022,ACO,PM10,28,2
09/01/2022,MON,PM2.5,12,2
09/01/2022,CHO,PM10,44,2
09/01/2022,CUA,PM10,21,2
09/01/2022,CUT,PM10,35,2
09/01/2022,FAC,PM10,26,2
09/01/2022,MER,PM10,28,2
09/01/2022,MER,PM2.5,20,2
09/01/2022,NEZ,PM10,30,2
09/01/2022,NEZ,PM2.5,17,2
09/01/2022,PED,PM10,21,2
09/01/2022,PED,PM2.5,14,2
09/01/2022,SAG,PM10,29,2
09/01/2022,SAG,PM2.5,18,2
09/01/2022,SFE,PM10,20,2
09/01/2022,SFE,PM2.5,11,2
09/01/2022,TAH,PM10,33,2
09/01/2022,TLA,PM10,31,2
09/01/2022,TLA,PM2.5,14,2
09/01/2022,TLI,PM10,39,2
09/01/2022,UAX,PM2.5,14,2
09/01/2022,UIZ,PM10,30,2
09/01/2022,UIZ,PM2.5,18,2
09/01/2022,VIF,PM10,42,2
09/01/2022,CCA,PM2.5,12,2
09/01/2022,BJU,PM10,26,2
09/01/2022,BJU,PM2.5,16,2
09/01/2022,INN,PM10,15,2
09/01/2022,INN,PM2.5,9,2
09/01/2022,FAR,PM2.5,16,2
09/01/2022,SAC,PM2.5,20,2
10/01/2022,ACO,PM10,27,2
10/01/2022,MON,PM2.5,18,2
10/01/2022,CHO,PM10,76,2
10/01/2022,CUA,PM10,29,2
10/01/2022,CUT,PM10,40,2
10/01/2022,FAC,PM10,39,2
10/01/2022,NEZ,PM10,32,2
10/01/2022,NEZ,PM2.5,14,2
10/01/2022,PED,PM10,18,2
10/01/2022,PED,PM2.5,9,2
10/01/2022,SAG,PM10,30,2
10/01/2022,SAG,PM2.5,13,2
10/01/2022,SFE,PM10,24,2
10/01/2022,SFE,PM2.5,12,2
10/01/2022,TAH,PM10,38,2
10/01/2022,TLA,PM10,43,2
10/01/2022,TLA,PM2.5,15,2
10/01/2022,TLI,PM10,49,2
10/01/2022,UAX,PM2.5,13,2
10/01/2022,UIZ,PM10,34,2
10/01/2022,UIZ,PM2.5,14,2
10/01/2022,VIF,PM10,61,2
10/01/2022,CCA,PM2.5,11,2
10/01/2022,BJU,PM10,25,2
10/01/2022,BJU,PM2.5,14,2
10/01/2022,INN,PM10,20,2
10/01/2022,INN,PM2.5,10,2
10/01/2022,FAR,PM2.5,14,2
10/01/2022,SAC,PM2.5,17,2
11/01/2022,ACO,PM10,18,2
11/01/2022,MON,PM2.5,11,2
11/01/2022,CHO,PM10,49,2
11/01/2022,CUA,PM10,22,2
11/01/2022,FAC,PM10,25,2
11/01/2022,NEZ,PM10,24,2
11/01/2022,NEZ,PM2.5,9,2
11/01/2022,PED,PM10,20,2
11/01/2022,PED,PM2.5,11,2
11/01/2022,SAG,PM10,20,2
11/01/2022,SAG,PM2.5,7,2
11/01/2022,SFE,PM10,22,2
11/01/2022,SFE,PM2.5,11,2
11/01/2022,TAH,PM10,29,2
11/01/2022,TLA,PM10,30,2
11/01/2022,TLA,PM2.5,10,2
11/01/2022,TLI,PM10,28,2
11/01/2022,UAX,PM2.5,10,2
11/01/2022,UIZ,PM10,28,2
11/01/2022,UIZ,PM2.5,11,2
11/01/2022,CCA,PM2.5,9,2
11/01/2022,BJU,PM10,22,2
11/01/2022,BJU,PM2.5,11,2
11/01/2022,INN,PM10,18,2
11/01/2022,INN,PM2.5,10,2
11/01/2022,SAC,PM2.5,13,2
12/01/2022,ACO,PM10,37,2
12/01/2022,MON,PM2.5,17,2
12/01/2022,CHO,PM10,83,2
12/01/2022,CUA,PM10,36,2
12/01/2022,CUT,PM10,63,2
12/01/2022,FAC,PM10,46,2
12/01/2022,MER,PM10,33,2
12/01/2022,MER,PM2.5,21,2
12/01/2022,NEZ,PM10,42,2
12/01/2022,NEZ,PM2.5,18,2
12/01/2022,PED,PM10,32,2
12/01/2022,PED,PM2.5,19,2
12/01/2022,SAG,PM10,36,2
12/01/2022,SAG,PM2.5,18,2
12/01/2022,SFE,PM10,36,2
12/01/2022,SFE,PM2.5,18,2
12/01/2022,TAH,PM10,46,2
12/01/2022,TLA,PM10,51,2
12/01/2022,TLA,PM2.5,20,2
12/01/2022,TLI,PM10,70,2
12/01/2022,UAX,PM2.5,17,2
12/01/2022,UIZ,PM10,41,2
12/01/2022,UIZ,PM2.5,19,2
12/01/2022,CCA,PM2.5,16,2
12/01/2022,BJU,PM10,35,2
12/01/2022,BJU,PM2.5,20,2
12/01/2022,INN,PM10,28,2
12/01/2022,INN,PM2.5,17,2
12/01/2022,FAR,PM2.5,17,2
12/01/2022,SAC,PM2.5,22,2
13/01/2022,MON,PM2.5,18,2
13/01/2022,CHO,PM10,100,2
13/01/2022,CUA,PM10,28,2
13/01/2022,CUT,PM10,45,2
13/01/2022,FAC,PM10,41,2
13/01/2022,MER,PM10,37,2
13/01/2022,MER,PM2.5,23,2
13/01/2022,NEZ,PM10,45,2
13/01/2022,NEZ,PM2.5,24,2
13/01/2022,PED,PM10,29,2
13/01/2022,PED,PM2.5,17,2
13/01/2022,SAG,PM10,37,2
13/01/2022,SAG,PM2.5,18,2
13/01/2022,SFE,PM10,28,2
13/01/2022,SFE,PM2.5,14,2
13/01/2022,TAH,PM10,50,2
13/01/2022,TLA,PM10,43,2
13/01/2022,TLA,PM2.5,15,2
13/01/2022,TLI,PM10,68,2
13/01/2022,UAX,PM2.5,20,2
13/01/2022,UIZ,PM10,45,2
13/01/2022,UIZ,PM2.5,21,2
13/01/2022,CCA,PM2.5,16,2
13/01/2022,BJU,PM10,37,2
13/01/2022,BJU,PM2.5,21,2
13/01/2022,INN,PM10,20,2
13/01/2022,INN,PM2.5,11,2
13/01/2022,FAR,PM2.5,18,2
13/01/2022,SAC,PM2.5,25,2
14/01/2022,MON,PM2.5,36,2
14/01/2022,CHO,PM10,80,2
14/01/2022,CUA,PM10,31,2
14/01/2022,CUT,PM10,70,2
14/01/2022,FAC,PM10,57,2
14/01/2022,MER,PM10,41,2
14/01/2022,MER,PM2.5,24,2
14/01/2022,NEZ,PM10,54,2
14/01/2022,NEZ,PM2.5,30,2
14/01/2022,PED,PM10,31,2
14/01/2022,PED,PM2.5,17,2
14/01/2022,SAG,PM10,48,2
14/01/2022,SAG,PM2.5,24,2
14/01/2022,SFE,PM10,25,2
14/01/2022,SFE,PM2.5,12,2
14/01/2022,TAH,PM10,58,2
14/01/2022,TLA,PM10,53,2
14/01/2022,TLA,PM2.5,20,2
14/01/2022,TLI,PM10,81,2
14/01/2022,UAX,PM2.5,23,2
14/01/2022,UIZ,PM10,53,2
14/01/2022,UIZ,PM2.5,24,2
14/01/2022,VIF,PM10,88,2
14/01/2022,CCA,PM2.5,17,2
